FLIGHT_NUMBER,SCHEDULED_ARRIVAL,SCHEDULED_DEPARTURE,DESTINATION_AIRPORT,ORIGIN_AIRPORT
2976,2040,1755,BWI,MDW
792,1414,841,DFW,SFO
1017,1926,1745,SNA,IAH
824,656,2230,JFK,SFO
1195,1910,1300,ORD,SFO
4590,2006,1900,SEA,GEG
2107,1504,1339,DAL,ATL
1841,1631,1130,ATL,EGE
1345,2228,2030,DTW,ATL
5418,1434,1139,IAH,MSP
1479,942,615,DEN,SAN
1495,1705,1355,DFW,EGE
24,1645,1545,SMF,PHX
3657,1049,1015,ROW,DFW
4012,2155,2030,SNA,SFO
84,2040,1615,SEA,ANC
1027,1955,1820,MCI,MKE
491,910,840,LAX,PHX
858,1259,800,IAH,SAN
3019,2359,2156,OKC,ORD
4519,2125,2000,ONT,DEN
1746,1025,620,PHL,DFW
365,1608,1430,DFW,MSY
11,1215,845,HNL,SFO
1249,715,543,ORD,MSP
684,1322,1220,GEG,SEA
6285,920,540,DEN,MFR
2153,1300,900,RSW,MDW
5325,1932,1727,DFW,DTW
5554,2150,2010,FSD,ATL
3435,2159,1850,HPN,ORD
1489,1841,1541,ATL,IAH
2292,1412,955,MSP,PHX
1860,1655,1500,MIA,ATL
2208,2039,1831,DFW,CLE
5287,2306,1925,RIC,MSP
3543,1300,1130,DFW,MHK
1250,1804,1552,DEN,MCO
214,525,58,DFW,LAS
584,1015,738,PHX,CLE
1874,1719,1612,MKE,ATL
459,939,800,PHL,BOS
73,1526,1152,SFO,EWR
1264,2100,1845,PIT,TPA
4220,1802,1646,IAH,BRO
4809,825,600,TPA,BHM
2947,1049,930,DFW,LIT
481,1300,1005,SEA,SAN
6469,2216,1945,BUF,ORD
1732,900,740,DCA,CLT
2153,856,745,ATL,AGS
774,1455,1145,ATL,SAT
1430,1955,1649,ATL,MSN
4823,943,820,SJC,LAX
3624,1155,1040,DFW,AEX
585,1800,1635,JFK,ROC
497,1403,1050,FLL,JFK
6535,1747,1626,LAX,OKC
2592,1826,1540,SLC,LAX
1101,2303,1932,BWI,MSP
3479,950,700,SLC,SAN
397,1955,1755,ATL,FLL
1484,1209,1105,DFW,AUS
190,1725,1652,HNL,LIH
127,201,2310,FAI,SEA
1657,910,800,MKE,BWI
5322,1347,1245,ATL,AVL
1315,825,610,DFW,BNA
1741,2338,2207,BOS,IAD
4565,2305,2159,SYR,EWR
3921,1916,1744,TUL,IAH
800,1740,1425,MEM,DEN
4469,1755,1358,IAH,SLC
5406,749,600,DTW,MDT
310,441,2100,FLL,LAX
513,805,610,ATL,CMH
1864,1627,1305,DCA,MSP
1511,1433,1304,SAN,IAH
2159,2138,1825,MCO,JFK
1051,1007,940,MEM,ATL
470,2026,1810,SAN,CLT
7,1643,1215,OGG,DFW
5435,736,530,SFO,PSC
2340,1654,942,DTW,SEA
531,901,745,ORD,DCA
1206,2045,1818,LAS,IAD
643,1414,1205,SEA,PHX
846,1806,1525,SWF,MCO
3536,1859,1720,LGA,RDU
317,2345,2055,PHX,OAK
1895,1506,1245,ATL,PHL
866,1813,1600,ATL,BNA
4579,2245,1950,AUS,BWI
293,2039,1310,CLE,LAX
6451,2203,2110,SMX,LAX
1199,1255,1035,PHX,BUR
5159,1956,1740,IAH,PIT
490,1220,850,BOS,STL
1092,2000,1600,PHL,DFW
1254,1640,1345,LGA,MIA
1062,3,2145,BDL,ATL
